Repo   : tldr-pages/tldr
Período: histórico completo
Commits descargados: 23361

=== POR PRODUCTO ===
ANMCC (Avg Modified Components per Commit): 5.14

=== POR PERSONA ===
Colaborador                    ANMCC
----------------------------------------
github-actions[bot]            416.57
vladimyr                       285.0
Starsoon                       193.0
HugueLiu                       134.16
kbdharun                       53.47
darmiel                        46.0
mumumu                         43.29
CodePsy-2001                   39.14
signed-log                     38.5
Beriholic                      38.0
ndrohith09                     31.0
p8sss                          30.0
Rickyxrc                       29.0
danielzgtg                     28.0
zhouLion                       28.0
axrona                         26.0
cnu                            25.5
tcarecolin                     25.33
Lucas Gabriel Schneider        24.75
MeerBiene                      24.0
kawana77b                      23.33
marcelbrode                    23.0
titouan-joseph                 23.0
devanshsonii                   22.0
she3o                          22.0
blueskyson                     20.76
fcrespo82                      20.0
John-Toohey                    19.5
vitorhcl                       19.28
Seifer23                       19.0
mortalpuppet                   17.5
acuteenvy                      17.38
tadeolozano                    17.0
ggliv                          17.0
balsoft                        17.0
mpiasecki1                     17.0
luebken                        17.0
sebastientinel                 17.0
tricantivu                     16.4
louiss0                        16.0
Jeremy-Aza                     16.0
Managor                        15.86
piedroconti                    15.0
Tylerastro                     15.0
urbalazs                       15.0
cmhpedro                       14.75
haydaramru                     14.0
hayabusa255                    14.0
SirMonteiro                    14.0
eternityduck                   14.0
zichi                          14.0
ffranchina                     13.85
LucasFA                        13.5
4G3NT                          13.5
Alexander Martin               13.5
roundedrectangle               13.33
4jamesccraven                  13.0
SunPodder                      13.0
João Dias Conde Azevedo        13.0
einverne                       12.65
BananaaaKING                   12.58
schneiderl                     12.41
Gitleptune                     12.29
orgiele                        11.5
Naiq-zyx                       11.0
FarhadK2022                    11.0
ClathW                         10.5
dalembertian                   10.0
kfatyuip                       10.0
xphade                         10.0
a1346054                       10.0
HairyFotr                      10.0
sebastiaanspeck                9.66
lch7167                        9.57
joelhy                         9.5
tansiret                       9.38
rffontenelle                   9.3
lord63                         9.11
kemelzaidan                    9.0
WangLinSongss                  9.0
kicka5h                        9.0
dude-with-the-long-username    9.0
wilco375                       9.0
FrankBG67                      9.0
bl-ue                          8.63
varksvader                     8.5
bevanjkay                      8.5
SethFalco                      8.4
lexionq                        8.0
davidlazch                     8.0
omahs                          8.0
gebleksengek                   8.0
ruben-tura                     8.0
gearj                          8.0
dawalberto                     8.0
dmakth                         8.0
SuperSonicHub1                 7.7
Zlatan Vasović                 7.67
glenacota                      7.52
dmorozov001                    7.5
nachoSource                    7.4
marchersimon                   7.26
rvandernoort                   7.2
therealhappy                   7.17
reinhart1010                   7.16
arvindfroi                     7.0
Kabiirk                        7.0
jkoro1                         7.0
nara071101                     7.0
mark2185                       7.0
Elia Migliore                  7.0
ishaanbhimwal                  7.0
dotnetCarpenter                7.0
MarkusS                        7.0
irhamdz                        7.0
JJByun                         7.0
Lutzifer                       7.0
nelsonfigueroa                 6.94
burned42                       6.8
HVbajoria                      6.67
Yrsa97                         6.67
Ruben Vereecken                6.54
okineadev                      6.5
rafifos                        6.5
morganhoward                   6.5
pranaovs                       6.4
pixelcmtd                      6.38
Omar8345                       6.36
isaacvicente                   6.2
ErlanRG                        6.17
0x256e4                        6.12
praneethpri                    6.0
curry798                       6.0
Rwright7                       6.0
d3m0k1d                        6.0
Sezergumus                     6.0
calthejuggler                  6.0
Valentin395                    6.0
HOIg3r                         6.0
iagor1                         6.0
johnybradshaw                  6.0
3ncy                           6.0
syleung                        6.0
robbyoconnor                   6.0
flyck                          6.0
Athi223                        6.0
bbonnin                        6.0
IMHOJEONG                      5.98
Gystek                         5.75
dylanrees                      5.53
binertia                       5.5
danielbg14                     5.5
NikKliaf                       5.5
Jaaq5                          5.5
qvissak                        5.5
ix                             5.5
Zamoca42                       5.43
daniel-birket                  5.23
zjuyk                          5.17
iridacea                       5.03
MishowHD                       5.0
shenbo1264                     5.0
Egg12138                       5.0
Zazzpi                         5.0
synack1337                     5.0
mCaballero1224                 5.0
alexandrusu1                   5.0
Gabbar-v7                      5.0
Seito1090                      5.0
pwallrich                      5.0
nimbo1000                      5.0
Tzal3x                         5.0
nicokosi                       5.0
GinOwO                         5.0
xuzhangheng                    5.0
MicaelMCarvalho                5.0
ShellTux                       5.0
FearTheBadger                  5.0
MNandor                        5.0
alexandrehassan                5.0
Margu86                        5.0
Nemanja                        5.0
errorcode7                     5.0
CoelacanthusHex                5.0
luisfelipesdn12                5.0
g0ne150                        5.0
widyakumara                    5.0
nlsum1                         5.0
jabesq                         5.0
vltamanec                      4.86
Ninzero                        4.65
renie                          4.65
paulinek13                     4.6
AsbDaryaee                     4.5
ayadseghairi                   4.5
