Archivos a analizar: 35766

=== POR PRODUCTO ===
CD (Comment Density): 0.0005  (ref. NASA optimo ~0.15)
  Total CLOC : 183
  Total LLOC : 337412
  Archivos   : 35766

=== POR PERSONA ===
Colaborador                           CLOC     LLOC       CD
--------------------------------------------------------------
dependabot[bot]                          7      258   0.0271
RuiNtD                                   1       69   0.0145
Waldir Pimenta                           9      867   0.0104
Lena Pastwa                             11     1140   0.0096
Marek Küthe                              1      133   0.0075
K.B.Dharun Krishna                      20     3239   0.0062
Sebastiaan Speck                       100    29408   0.0034
Vitor Henrique                           2     6089   0.0003
Managor                                 32   146076   0.0002
Ninzero Xu                               0      629      0.0
Ivan Baluta                              0     3557      0.0
Fazle Arefin                             0     2010      0.0
Andrew Stefankiv                         0      164      0.0
Nelson Figueroa                          0    30419      0.0
Sarijen                                  0      384      0.0
Machiavelli                              0      955      0.0
Jin                                      0      638      0.0
Adriano Inghingolo                       0     5806      0.0
github-actions[bot]                      0     6367      0.0
Ricky                                    0      317      0.0
Ninzero                                  0      936      0.0
curry798                                 0       73      0.0
Emmanuel Ferdman                         0     5221      0.0
lightsky9627                             0       38      0.0
Red Earth                                0       16      0.0
Harry Cui Kepler                         0        7      0.0
unixkiwi                                 0       51      0.0
openbit                                  0       40      0.0
Q                                        0        9      0.0
Seth Falco                               0      190      0.0
Lena                                     0     6403      0.0
Brooks YU                                0       39      0.0
aabs82                                   0       18      0.0
lincc                                    0      523      0.0
Dmytro Voytko                            0      139      0.0
trolzen                                  0      250      0.0
Okinea Dev                               0       31      0.0
Bohdan Karashchuk                        0       59      0.0
Kristopher                               0     1533      0.0
marchersimon                             0      850      0.0
Merjem Bajramovic                        0        4      0.0
jeyvid                                   0       62      0.0
Omar Moustafa                            0      313      0.0
Ali Nazzal                               0      185      0.0
Ayad seghiri                             0       47      0.0
Mohammad Salim                           0       20      0.0
Dheenadayalan                            0       20      0.0
MubarakSec                               0       21      0.0
AA                                       0        5      0.0
Hadeer Ramadan                           0       21      0.0
Dylan                                    0     8719      0.0
manojponnusamy2032-star                  0       18      0.0
Garvit Singh                             0        9      0.0
Karthik Vallamsetla                      0      394      0.0
rishisrivastava0812                      0       15      0.0
Vedant Yadav                             0      101      0.0
Shaswat Srivastava                       0        9      0.0
Abhishek Keshri                          0        9      0.0
Juri Dispan                              0      935      0.0
Aakanksha Arun Desai                     0       15      0.0
Aiglelevant                              0       28      0.0
Pranav                                   0       50      0.0
Vedika Rathi                             0        4      0.0
Meinard Francisco                        0     1799      0.0
RAJ RAUT                                 0       23      0.0
singhishan                               0       10      0.0
Reinhart Previano Koentjoro              0     5194      0.0
Andre                                    0      180      0.0
LucasFA                                  0       79      0.0
tshofmann                                0       16      0.0
4G3NT                                    0      136      0.0
Marco Omainska                           0       26      0.0
David Pape                               0       22      0.0
Daniel                                   0       97      0.0
Lukas                                    0       37      0.0
Slotharmy                                0       36      0.0
mamasch19                                0       30      0.0
sebschil                                 0       60      0.0
Pierre Hoffmeister                       0       10      0.0
mister-ben                               0      126      0.0
3voltAmperes                             0       17      0.0
Kemel Zaidan                             0       80      0.0
Joachim Schwarm                          0       32      0.0
Bernd Stellwag                           0       66      0.0
syleung                                  0       51      0.0
pixie                                    0       19      0.0
skyjx                                    0       13      0.0
Lars Niesen                              0       13      0.0
pixel                                    0      455      0.0
Bevan Kay                                0      204      0.0
Jan                                      0       10      0.0
Sayna                                    0       13      0.0
Andreas Diesner                          0       17      0.0
Marcel Brode                             0       21      0.0
Peter Bittner                            0       57      0.0
Braintelligence                          0       11      0.0
Margu                                    0       25      0.0
NeoCode                                  0       11      0.0
BoolPurist                               0       10      0.0
Sebastian                                0       19      0.0
Magrid                                   0      405      0.0
Jonas                                    0       15      0.0
HoJeong Im                               0    11070      0.0
코드싸이                                     0    13691      0.0
すろか                                      0       13      0.0
runn3r                                   0      134      0.0
jkoro1                                   0       55      0.0
Philipp Wallrich                         0       60      0.0
Andy Li                                  0       33      0.0
Chooooo                                  0     1123      0.0
bl-ue                                    0      184      0.0
Jeongwook Park                           0       13      0.0
dmakth                                   0       20      0.0
piedroconti                              0      108      0.0
Alexandre ZANNI                          0      446      0.0
JJByun                                   0       13      0.0
Byoung Hoon, Yoon                        0       50      0.0
Paul                                     0       17      0.0
Danila Vershinin                         0       22      0.0
cyqsimon                                 0       76      0.0
Deuchnord                                0       37      0.0
spageektti                               0      796      0.0
pji2918                                  0       20      0.0
Aerex                                    0       13      0.0
Harshavardhan                            0      174      0.0
Taeyoon Kim                              0       11      0.0
Marco Bonelli                            0      134      0.0
Proscream                                0        7      0.0
Ryan Rotter                              0       15      0.0
tranzystorekk                            0      129      0.0
Choi Young-jin                           0       20      0.0
Zachary Talis                            0       38      0.0
Paul Mana                                0       38      0.0
CleanMachine1                            0      135      0.0
lyj                                      0       38      0.0
Andrzej Voss                             0       39      0.0
Simon Verhoeven                          0       40      0.0
Jennifer Falco                           0       25      0.0
Florian B.                               0       17      0.0
Daniel Konstantinov                      0     1185      0.0
badhon                                   0     1643      0.0
Tapu                                     0       59      0.0
Riyaz Siddiqui                           0        5      0.0
Olivier Toussaint                        0       75      0.0
Joel Tony                                0       57      0.0
iTrooz                                   0       93      0.0
SamyOffer                                0       25      0.0
Irina                                    0      250      0.0
AntoineKoiko                             0       35      0.0
Nicolas Hansse                           0      190      0.0
Hermann AGOSSOU                          0       26      0.0
Sarah THEOULLE                           0       78      0.0
Laykon4                                  0       18      0.0
Mia Combeau                              0       19      0.0
trouyer                                  0       19      0.0
Neluji                                   0       57      0.0
Titouan-joseph Cicorella                 0       17      0.0
melvinxeu                                0       15      0.0
mana-byte                                0      142      0.0
