Archivos de documentación encontrados: 35741
Construyendo mapa de autores con git log...
Mapa de autores construido: 42240 archivos

=== POR PRODUCTO ===
DLOC (Documentation Lines of Code): 334585 lineas
  Archivos analizados: 35741

=== POR PERSONA ===
Colaborador                                  DLOC
----------------------------------------------------
Managor                                    144902
Nelson Figueroa                             30419
Sebastiaan Speck                            28269
코드싸이                                        13691
HoJeong Im                                  11055
Dylan                                        8602
Lena Pastwa                                  7034
Darío Hereñú                                 6926
github-actions[bot]                          6367
Vitor Henrique                               5880
Adriano Inghingolo                           5786
Emmanuel Ferdman                             5221
Reinhart Previano Koentjoro                  5194
Ivan Baluta                                  3934
K.B.Dharun Krishna                           3041
Fazle Arefin                                 1917
Meinard Francisco                            1799
badhon                                       1643
Kristopher                                   1533
Starsoon                                     1491
desconocido                                  1273
Daniel Konstantinov                          1185
Chooooo                                      1123
Juri Dispan                                   977
Machiavelli                                   955
Ninzero                                       936
Wiktor Perskawiec                             872
marchersimon                                  850
Igor Támara                                   705
Waldir Pimenta                                703
Jin                                           638
Muhammad Willdhan Arya Putra                  637
Ninzero Xu                                    629
Emily Grace Seville                           548
Tan Siret A                                   547
Tamanec                                       545
Jack Lin                                      533
Sahil Afrid Farookhi                          529
pixie                                         510
Andrei Murariu                                458
Alexandre ZANNI                               434
Vítor Henrique                                417
Magrid                                        405
Karthik Vallamsetla                           394
Sarijen                                       384
Rafael Fontenelle                             350
Shelly David                                  350
Alejandro Cervera                             341
Ricky                                         317
Omar Moustafa                                 313
trolzen                                       250
Irina                                         250
Erlan Rangel                                  221
axrona                                        219
Bevan Kay                                     204
Pranav Lawate                                 203
Francesco Franchina                           202
Mohammad Reza Soleimani                       201
crispyfires                                   194
Seth Falco                                    190
Nicolas Hansse                                190
Renie Siqueira                                189
Owen Voke                                     187
Ali Nazzal                                    185
Andre                                         180
Harshavardhan                                 174
Axel Navarro                                  171
Andrew Stefankiv                              164
Cristian Bastidas                             161
Alessandro Chitarrini                         157
Guido                                         152
Paulina Kalicka                               152
mana-byte                                     142
Tadeo                                         142
Om Singh Bais                                 140
Dmytro Voytko                                 139
Haydar                                        138
4G3NT                                         136
Juan Pablo                                    136
CleanMachine1                                 135
Marek Küthe                                   134
runn3r                                        134
Marco Bonelli                                 134
Kishore B                                     130
tranzystorekk                                 129
mister-ben                                    126
bl-ue                                         126
William Aboucaya                              122
Lucas Gabriel Schneider                       117
Sencyy                                        116
kekwlboy12469                                 112
elfiyka                                       112
Amine LOUHICHI                                110
piedroconti                                   108
lexion                                        107
Vedant Yadav                                  101
jordi martinez                                 98
Daniel                                         97
iTrooz                                         93
Gabriel de Souza                               93
Sadeed                                         91
Harrison                                       90
Daniel Guerrero                                89
David Lazarevic                                88
rozie                                          85
Kabiir Krishna                                 84
Naman Soni                                     84
Kemel Zaidan                                   80
陈文悠                                            80
Samuele Facenda                                80
LucasFA                                        79
Godwin Iheuwa                                  79
Sarah THEOULLE                                 78
cyqsimon                                       76
Olivier Toussaint                              75
Rodrigo Decuir                                 74
Fabio Perrella                                 74
curry798                                       73
umutKaracelebi                                 72
k-a-rthik                                      71
Rafael Gordon Paves                            71
depgod                                         68
James C Craven                                 67
Swasti Mishra                                  67
Bernd Stellwag                                 66
Pouya Karazmayan                               66
Adam Herst                                     66
Harikrishna C                                  65
Brook                                          65
zhuhong_bo                                     65
Andréia Bohner                                 64
Sainjargal Ishdorj                             64
Krystian                                       64
jeyvid                                         62
Moch. Bima Pangestu                            62
Cem AÇAR                                       62
Isaac Vicente                                  61
Christoph                                      61
sebschil                                       60
Philipp Wallrich                               60
caduvieira                                     60
Bohdan Karashchuk                              59
Tapu                                           59
Lakshyajeet Singh Goyal                        59
Cornelius Roemer                               58
Alexandros Tzimas                              58
Peter Bittner                                  57
Joel Tony                                      57
Neluji                                         57
Kauan Modolo                                   57
JanviNandre                                    57
Rinas                                          57
ramadasmr                                      56
dwalex                                         56
jkoro1                                         55
Ulices                                         54
Stig124                                        54
Rohith ND                                      54
Alexandru Rusu                                 54
Matteo Piffari                                 53
roshawn                                        52
Gin                                            52
sapbotgit                                      52
Ethan J                                        52
Ashwath                                        52
unixkiwi                                       51
syleung                                        51
Azrael JD                                      51
Nikiforos Kliafas                              51
Pranav                                         50
Byoung Hoon, Yoon                              50
Guido Lena Cota                                49
Kyle Mohr                                      49
Pierre Rudloff                                 49
fankex                                         48
Ayad seghiri                                   47
mCaballero1224                                 47
Shantanu Pai                                   46
Peter Babič                                    45
Coba                                           45
bradleyJT-CS                                   45
Gajjela Vasudev                                44
Varnika Sinha                                  43
Daniel Fahl                                    42
Nemo D'ACREMONT                                42
Ilya Chernishev                                42
Gabriel Paiva de Almeida                       41
zhb4                                           41
openbit                                        40
Simon Verhoeven                                40
Gabriel Rodrigues                              40
John Haugabook                                 40
Jeet Jawale                                    40
Brooks YU                                      39
