Repo   : tldr-pages/tldr
Período: histórico completo

Issues en período: 1788
PRs en período: 21596

Colaborador                Issues  I.Cerr    PRs  PR.Cerr  PR.Merge     SC
--------------------------------------------------------------------
Managor                       180     130   1847       27      1814   3998
kant                            0       0   1616       70      1530   3216
sebastiaanspeck                49      29    927       38       889   1932
nelsonfigueroa                  1       1    619        2       617   1240
IMHOJEONG                       0       0    404        2       387    793
kbdharun                      105      99    285       12       273    774
ikks                            0       0    361        4       357    722
waldyrious                     46      41    295        5       289    676
marchersimon                   32      31    303        7       296    669
dmmqz                          14      10    316        2       314    656
acuteenvy                      12      10    309        0       309    640
SpikeTheDragon40k               0       0    304        6       297    607
EmilyGraceSeville7cf           55      52    226       51       175    559
owenvoke                        3       3    251        0       251    508
navarroaxel                    11      10    241        3       238    503
emmanuel-ferdman                2       0    228        2       225    457
FazleArefin                     8       6    221        8       213    456
sbrl                           27      24    191        2       189    433
reinhart1010                   12       5    206        4       200    427
ivanbaluta                     18      10    191        1       190    410
bl-ue                          39      33    161        8       153    394
vitorhcl                       23      11    166        8       158    366
dependabot                      0       0    182        4       178    364
CleanMachine1                  20      19    162        9       153    363
gutjuri                        24      21    143        0       143    331
spageektti                      6       5    148        2       146    307
desconocido                    15      15    138       25       113    306
pixelcmtd                      58      36     97        1        96    288
agnivade                       23      23     86        7        79    218
MachiavelliII                  12       8     99        2        96    217
mfrw                           46      42     59        5        54    206
CodePsy-2001                    1       0     98        2        96    197
mebeim                          9       9     86        4        82    190
KristopherLeads                 3       0     90        6        84    183
zlatanvasovic                  24      24     62        4        58    172
karthik-script                  0       0     83        2        81    166
badhon495                       0       0     76        1        75    152
msaf9                           3       1     64        4        60    132
cyforkk                         0       0     65       65         0    130
Aracki                          2       2     60        3        57    124
znarfm                          9       6     55        3        51    124
blueskyson                      8       8     53        4        49    122
igorshubovych                   2       2     58        4        54    120
SethFalco                       3       1     58        0        58    120
TheRootDaemon                   1       0     59        0        59    119
noraj                           0       0     57        0        57    114
tansiret                        7       5     50        5        45    112
Nico385412                      0       0     56        0        56    112
Rudloff                         0       0     54        0        54    108
einverne                        1       1     50        1        49    102
Magrid0                         1       1     46        9        37     94
LiLittleCat                     0       0     46        0        46     92
hayleox                         4       4     41        3        38     90
schneiderl                      6       6     37        2        35     86
jxu                            28      28     15        1        14     86
MasterOdin                      7       7     35        1        34     84
TheMimikyu                      0       0     41        0        41     82
Geipro                          0       0     40        2        38     80
rozie                           0       0     39        3        36     78
cyqsimon                        4       4     33        2        31     74
witt-bit                        7       6     29        0        29     71
sahilister                      2       2     32        3        29     68
nicokosi                        0       0     34        2        32     68
Ninzero                         1       1     32        1        31     66
Sadeeed                         3       2     29        0        29     63
rubenvereecken                  5       5     26        0        26     62
BillLucky                       0       0     31        0        31     62
andrik                          1       1     29        1        28     60
Zamoca42                        1       1     29        1        28     60
iridacea                        0       0     30        0        30     60
BananaaaKING                    0       0     29        5        24     58
glenacota                       4       4     24        3        21     56
marek22k                        1       0     27        2        25     55
felixonmars                     1       1     26        3        23     54
trolzen                         1       1     26        1        25     54
aherst                          0       0     27        1        26     54
tricantivu                      0       0     27        2        25     54
ivanhercaz                      5       5     21        1        20     52
hezhizhen                       0       0     26        1        25     52
MrMw3                           0       0     26        2        24     52
