Repo   : tldr-pages/tldr
Período: histórico completo

=== POR PRODUCTO ===
Issues descargados: 1558

NCI (Number of Closed Issues): 1558

=== POR PERSONA ===
Issues descargados: 1558

Colaborador                    NCI
----------------------------------------
kbdharun                       176
Managor                        171
sbrl                           125
agnivade                       112
navarroaxel                    89
sebastiaanspeck                54
acuteenvy                      53
marchersimon                   48
waldyrious                     47
EmilyGraceSeville7cf           47
rprieto                        42
bl-ue                          38
ivanbaluta                     37
CleanMachine1                  33
spageektti                     30
owenvoke                       29
mfrw                           26
igorshubovych                  24
pixelcmtd                      22
zlatanvasovic                  21
gutjuri                        20
mebeim                         17
blueskyson                     16
leostera                       15
github-actions                 10
dmmqz                          10
schneiderl                     8
einverne                       8
znarfm                         8
MachiavelliII                  8
rubenvereecken                 7
MasterOdin                     7
SpikeTheDragon40k              6
KristopherLeads                6
desconocido                    5
jxu                            5
FazleArefin                    5
nelsonfigueroa                 5
Aracki                         4
Waples                         4
msaf9                          4
Wesalius                       3
andrik                         3
glenacota                      3
mansoorbarri                   3
jeeftor                        2
mflint                         2
josephernest                   2
tbarusseau                     2
gingerbeardman                 2
pepa65                         2
shynekomaid                    2
0xf0xx0                        2
nicokosi                       2
cyqsimon                       2
miracle372                     2
blueglyph                      2
vitorhcl                       2
reinhart1010                   2
SethFalco                      2
witt-bit                       2
aminelch                       2
emmanuel-ferdman               2
meetwudi                       1
jipiboily                      1
dozortsev                      1
progval                        1
RominYue                       1
megamattron                    1
Parth                          1
michaeleisel                   1
cmoel                          1
GabLeRoux                      1
emileber                       1
popey456963                    1
ramwin                         1
jasonkarns                     1
FreifunkerEZ                   1
the-c0d3r                      1
soulomoon                      1
JacobCallahan                  1
scottwhudson                   1
Scarsz                         1
viztor                         1
maxsxu                         1
colinmorris                    1
grzkv                          1
driftcrow                      1
Zminghua                       1
chamini2                       1
gonejack                       1
sjackman                       1
g-ongenae                      1
megan201296                    1
AnimiVulpis                    1
guilhermeleobas                1
Cyberhan123                    1
pqiaohaoq                      1
thiswind                       1
Kreijstal                      1
StewAlexander-com              1
halloleo                       1
acestronautical                1
Rudloff                        1
NSExceptional                  1
Izzur                          1
long-nguyenxuan                1
rachithaiyappa                 1
ivanhercaz                     1
ldorigo                        1
jn64                           1
corentincam                    1
runmaxde                       1
mihainsto                      1
jonatasleon                    1
sgotand                        1
Sadeeed                        1
ifuchs                         1
older-pack                     1
mortenfyhn                     1
tansiret                       1
patricedenis                   1
aherst                         1
yikerman                       1
Felipe-noob                    1
gd-codes                       1
eval-exec                      1
ttv20                          1
adoyle-h                       1
AngelODeath                    1
yassinecc                      1
KSroido                        1
sarnobat                       1
AMATEURTOSS                    1
lakhininenina                  1
k12ish                         1
cjappl                         1
fallenpixel                    1
Torfab                         1
suyashbhawsar                  1
sanesai                        1
Liquid-system                  1
Saevyn                         1
Buliet                         1
CrimsonTome                    1
wzlove                         1
Oglo12                         1
imlucyd                        1
isaacvicente                   1
mooreye                        1
okineadev                      1
pandyah5                       1
stanleyogada                   1
bharateshwq                    1
CodePsy-2001                   1
ktz-dev                        1
ve-nt                          1
nilsandrey                     1
demo-err                       1
Dom-TC                         1
royborgen                      1
Sarijen                        1
ilius                          1
niklasmohrin                   1
DeepHiwase                     1
AndreiCherniaev                1
BananaaaKING                   1
oakrotka                       1
StefanLobbenmeierObjego        1
Very-cool-guy                  1
Ninzero                        1
----------------------------------------
Total                          1558
